,Wikipedia_features,wikipedia_featurs_No,twitter_features,twitter_featurs_No,kaggle_features,kaggle_featurs_No,youtube_features,youtube_featurs_No
0,the,5239.024202319904,mkr,457.2100201846605,you,443.3397273828512,the,148.02707436014904
1,you,4200.331387214992,the,423.56006169827936,the,299.41563164418704,you,132.99953602102426
2,to,4179.713003159275,co,367.5843537498256,are,283.5697302565371,to,119.65187749785095
3,and,3648.5675534663656,http,358.8608988003978,to,242.58871160749044,is,119.53409018531949
4,of,3565.743217442986,http co,348.37021533986433,and,229.02538483621453,and,116.3001284292797
5,is,3510.237572197006,to,333.27332404057364,your,222.08420221825833,this,112.32750123454686
6,it,3232.177691048584,and,305.6492533674964,you are,191.40038527090562,it,112.27202470969476
7,that,3068.428605641065,is,295.83037256146355,of,188.29565965836068,that,99.48687318184507
8,in,2853.764676757388,of,277.0737757372346,is,187.99280473888007,of,93.26953098762787
9,this,2541.1989115234205,you,262.0590364462693,that,175.87348923211826,in,88.48467837984659
10,for,2476.3812906852663,rt,258.2391938262898,it,172.99797232717083,like,85.49408840303921
11,not,2430.8070449233733,that,257.8258291671206,in,154.9432984138976,so,84.89958632520049
12,on,2258.33603844258,it,247.71163979691173,xa0,145.47914185120962,my,84.29639706709374
13,be,2182.229630502404,in,223.87968243293517,for,132.68835481310728,was,76.59515938122553
14,are,2152.9679646715886,are,207.68767370957104,like,130.36188901065194,on,76.21704302076164
15,have,2033.8266738565094,for,181.1649073653027,on,123.50823458805172,love,75.9072349164937
16,as,1982.5217505005578,not,170.2370581082674,not,118.51366768101977,your,75.75442047199512
17,your,1966.4033305717762,this,163.75745188745915,be,116.26711988597515,me,75.74786711540587
18,with,1784.4645328830786,they,158.19945170621799,re,114.74601363785021,for,75.08126850957578
19,was,1753.9194423155311,on,153.66330317145474,have,112.63752231607391,are,74.57020082401272
20,my,1747.8136412968897,have,135.62024920516797,this,106.0985522142988,he,72.45880666792208
21,article,1717.1643122117212,be,133.03948118732143,what,103.61570095758007,just,70.88582478405695
22,if,1630.9970497643142,with,128.70091618622186,are you,103.44951655339432,but,69.56674037479586
23,but,1597.2060899573826,islam,123.26210676016404,fuck,103.245798101534,have,69.51844256756611
24,me,1571.9581618175293,no,121.1927761416811,you re,102.93654309144344,not,66.80365074691684
25,page,1559.9493851774967,kat,120.3586333036803,just,100.24986301071705,they,64.64759229597462
26,do,1525.3329248743548,so,119.9934703540938,he,100.15963185139648,what,64.59749472880569
27,or,1523.05486992245,but,119.13058570985443,with,96.06929848530892,lol,64.16346166174789
28,what,1476.3333288800884,my,116.62247849713916,so,94.90056111206523,be,63.78250222586484
29,wikipedia,1453.6489534672485,what,116.5557553078896,all,91.66226736921006,with,61.46376122904212
30,an,1453.2050713417932,like,113.76785430838082,they,90.51732185198229,do,61.327326748756406
31,of the,1422.891523647065,was,112.81405954218091,an,88.33420983063213,song,60.847212422641704
32,can,1420.9196122818814,can,112.43034073300446,as,88.23013291700951,if,60.23680200243789
33,from,1416.9129092917392,just,110.78405869853718,don,87.02879126524404,can,60.104162412239425
34,so,1404.6185724485895,about,108.86544109629835,up,83.0526650738792,she,59.67546160754709
35,by,1367.3355935578516,all,106.82020809655022,if,82.8366767200827,all,57.40941497456691
36,about,1358.182509100233,your,103.48697989353157,get,82.47313656419212,up,56.69729863871169
37,at,1313.8695193505353,me,95.22505500561677,about,82.27408614401558,at,55.608018797866315
38,there,1303.7756082797775,at,94.03709670130516,do,80.97987210831162,no,55.51637278441973
39,in the,1288.1043109238758,don,93.55452348748942,no,80.67258796578831,one,55.074873957354356
40,just,1268.611743367867,do,93.05108626504943,can,80.56325288488244,good,54.77080360584939
41,no,1265.4165903791293,if,91.13943391449259,but,79.67364714103738,video,54.11312092784244
42,please,1247.1644300904995,we,89.94512670355888,was,79.22092350562163,get,52.69296977522541
43,all,1226.380860307623,amp,88.90661454489378,me,76.41433011665279,how,51.52950317691635
44,will,1222.2344127279775,there,88.6416793106348,we,73.09888201692179,this is,47.80315719388791
45,he,1194.4620925160436,people,87.28008863714717,idiot,72.81853211117644,when,47.645508155310175
46,like,1191.878407541157,by,86.82145312797276,or,72.52236600947465,out,47.205093030717364
47,talk,1154.687833926197,from,86.74963867491793,out,70.0269964703452,really,47.06886836767861
48,has,1126.3344857667398,as,85.73735840988306,my,69.72362928749092,her,47.05935816414051
49,don,1125.946325178317,andre,84.76398517706912,will,69.59617456043594,or,46.948885596315726
50,one,1117.6880168579726,how,83.14074611730423,know,68.79954009092897,people,46.57884584542731
51,they,1104.3708918542957,get,77.22427742583406,fucking,68.54591810949499,its,46.294912769686654
52,would,1087.5129740728748,their,76.29076223485373,one,68.05622054376532,know,46.20621941320896
53,should,1052.1420368534689,up,75.82208545704398,who,67.81546708380063,would,45.772700426682775
54,we,1001.460660912528,one,75.61474407930339,go,67.32730850336846,from,45.440506832740724
55,here,979.918989719561,them,75.52375107290138,when,65.26754737699068,im,45.3751882576158
56,who,978.4867636827581,will,75.26785715104943,how,65.02062231086947,as,44.87732094773388
57,think,968.2156844215781,more,74.42664320866399,at,64.58303013818916,don,43.7275590120295
58,to the,966.7711627601616,an,72.7541246089851,would,63.82837767697561,there,43.5354911585744
59,why,959.6145942233968,he,72.38551724778225,from,62.960987093301036,about,43.29649383806291
60,been,959.140115391294,isis,71.64382439415309,his,59.616943380351955,think,42.54101051520949
61,see,956.4175297272792,who,70.21106142833443,people,59.572705744937075,in the,42.073732793028405
62,if you,950.823480272136,out,69.2300825841033,shit,58.26086855000496,why,41.76483823578399
63,more,950.077988883402,would,69.17399104786469,why,55.84503274156742,we,41.413053148119566
64,any,939.2815514582084,women,68.8464446244136,in the,54.79828875214478,fuck,41.39036737523526
65,know,938.0552197684177,of the,68.45949066495808,because,54.68729484483667,did,41.12369491838866
66,some,931.7778271091915,or,67.73705743391801,more,54.183276101802825,will,40.942037030620774
